	Chaos deals 3 damage to target creature in combat with flying. Creatures have cycling 1 until end of turn.	Deadshot Minotaur	
	Sacrifice all your creatures. All creatures get +2/+2 this combat.	Death Pit Offering	
	Whenever a creature is dealt damage this combat, destroy it. It can't be regenerated.	Death Pits of Rath	
	Chaos deals 1 damage to target creature or player for each Mountain you control.	Death Spark	
	Create a 1/1 white Human Cleric creature token with protection from black. Blockers may be reassigned.	Death Speakers	
	Destroy target tapped creature.	Death Stroke	
	Regenerate target creature in combat. This effect may not be responded to.	Death Ward	
	Whenever a creature you don't control is put into a graveyard this combat, its controller loses life equal to its power and you gain life equal to its toughness.	Death Watch	
	Until end of turn, when a creature dies, its controller may put a +1/+1 counter on a creature they control. Any player may remove a +1/+1 counter from a creature they control: Chaos deals 1 damage to any target.	Deathbringer Thoctar	
	Create a 7/6 green Wurm creature token that may assign its combat as though it weren't blocked. Blockers may be reassigned.	Deathcoil Wurm	
	Whenever a creature blocks or becomes blocked by a non-black creature this combat, destroy the non-black creature(s) at end of combat.	Deathgazer	
	Counter all green spells until end of turn. This effect may not be reponded to.	Deathgrip	
	Target permanent becomes black permanently. (Its mana symbols remain unchanged.)	Deathlace	
	Destroy target green or white creature.	Deathmark	
	Regenerate target creature in combat. You gain control of that creature if it regenerates this way this combat.	Debt of Loyalty	
	Target opponent discards two cards.	Deception	
	Target black creature in play is sacrificed unless its controller pays 1d6 life. When that creature is put into a graveyard, its controller loses 2 life.	Decomposition	
	Sacrifice a creature unless you put the top two cards of your library into your graveyard. Target creature you control gains shroud this combat. Tap it.	Deep Spawn	
	If you tap a land you control for mana this combat, it produces U instead of any other type.	Deep Water	
	Prevent all damage that would be dealt this combat by attacking creatures.	Deep Wood	
	Create a 5/5 blue Serpent creature token that can't attack unless the defending player controls an Island. Blockers may be reassigned.	Deep-Sea Serpent	
	Lose 2 life. Regenerate a creature you control.	Deepwood Ghoul	
	All opponents tap 3 lands.	Defense Grid	
	Untap target creature defending player controls. It gets +1/+3 until the end of turn. Blockers may be reassigned.	Defiant Stand	
	Each player sacrifices a monocolored creature. Target creature in combat gains flying until end of turn. Attackers and blockers may be reassigned.	Defiler of Souls	
	Combat damage this turn is redirected to the target of your choice.	Deflection	
	Tap 1d6 creatures.	Dehydration	
	Return target sorcery card from your graveyard to your hand.	Déjà Vu	
	Tap and sacrifice a noncreature permanent you control. When target untapped creature controlled by the active player attacks and isn't blocked this combat, you may gain life equal to its power. If you do, it deals no combat damage.	Delif's Cone	
	Tap a noncreature permanent you control. If a creature is not blocked this combat, it deals no combat damage. Regenerate all of your creatures.	Delif's Cube	
	Tap target creature. That creature deals damage equal to its power to its controller. Prevent all combat damage that would be dealt to and dealt by the creature this combat.	Delirium	
	Tap all creatures without flying.	Deluge	
	Gain 10 life. At end of combat, lose 10 life.	Delusions of Mediocrity	
	Destroy target artifact or land.	Demolish	
	Each player exiles the top card of their library.	Demonic Attorney	
	Name a card. Exile the top six cards of your library, then reveal cards from the top of your library until you reveal the named card. Put that card into your hand and exile all other cards revealed this way.	Demonic Consultation	
	Remove target blocking creature from combat. Cascade the next spell you cast until end of turn.	Demonic Dread	
	Destroy target land. Then, you may pay 3. If you do not, tap all creatures you control, remove them from combat, and sacrifice a land of an opponent's choice. Blockers may be reassigned.	Demonic Hordes	
	Target untapped creature controlled by the active player can't attack this combat. Prevent all combat damage that would be dealt this combat by target untapped creature you control.	Demonic Torment	
	Search your library for a card, put that card into your hand, then shuffle.	Demonic Tutor	
	Reveal any number of black cards in your hand. You may gain 1 life for each card revealed this way.	Demon's Horn	
	Target creature in combat gets +X/+0 until end of turn, where X=the number of lands you control.	Demonspine Whip	
	Destroy target enchantment.	Demystify	
	Name a card. Look target players hand. If the named card is in that players hand, that player discards a card at random.	Denied!	
	Choose a creature in combat. Return each other creature controlled by that player to its owner's hand.	Denizen of the Deep	
	Creatures in combat have shroud this combat.	Dense Foliage	
	Return target permanent to its owner's hand. Cascade the next spell you play until end of turn.	Deny Reality	
	Choose one - Discard a card at random; or Pay B.	Derelor	
	Tap an untapped land you control: That land deals 1 damage to target attacking creature after combat damage is dealt.	Desert	
	Create a 2/2 red Drake creature token with flying. Blockers may be reassigned.	Desert Drake	
	Prevent all damage that would be dealt to creatures by Lands until end of turn.	Desert Nomads	
	Chaos deals 1 damage to each creature in combat.	Desert Sandstorm	
	Destroy target permanent in combat.	Desert Twister	
	Target player discards a card at random. If it's an artifact or creature spell, put that card onto the battlefield instead of into its owner's graveyard.	Desertion	
	At end of combat, each player who tapped a land for mana up to that time sacrifices a land. If a Plains is sacrificed this way, Chaos deals 2 damage to that Plains's controller.	Desolation	
	Creatures you control in combat get +2/+0 this combat.	Desperate Charge	
	Choose a creature you control in combat and roll 1d6. If the roll is even, the next time that source would deal damage this combat, it deals double that damage instead. If the roll is odd, the next time it would deal damage this combat, prevent that damage.	Desperate Gambit	
	Destroy target permanent you own. It can't be regenerated.	Despotic Scepter	
	Destroy target artifact with converted mana cost 1d6 or less. It can't be regenerated. Chaos deals 1d6 damage to that artifact's controller.	Detonate	
1	Destroy all creatures and lands.	Devastation	
	Create a 1/2 white Elf Soldier creature token. Blockers may be reassigned.	Devoted Hero	
	Create a 1/2 blue Fish creature token with islandwalk. Blockers may be reassigned.	Devouring Deep	
	Gain 1 life for each creature you control.	Devout Monk	
	Target player sacrifices a creature.	Diabolic Edict	
	Create a 4/4 Construct artifact creature token with "3: Regenerate". Blockers may be reassigned.	Diabolic Machine	
	Search your library for a card and put that card into your hand. Then shuffle your library.	Diabolic Tutor	
	Look at the top five cards of your library. Put one of them into your hand and the rest on top of your library.	Diabolic Vision	
