		At the beginning of your upkeep, sacrifice a creature unless you sacrifice a Forest. If you sacrifice a creature this way, it deals 7 damage to you. If you sacrifice a snow Forest this way, creatures you control gain trample until end of turn. Tap an untapped creature you control: That creature deals damage equal to its power to target creature. The targeted creature deals damage equal to its power to the tapped creature.	Gargantuan Gorilla		
		2GG: Play this effect as a sorcery and only once per turn. Choose one - Gain 1 life and untap two target lands; or Lose 1 life and create a 3/3 green Beast token; or Lose 4 life and Creatures you control get +3/+3 and gain trample until end of turn.	Garruk Wildspeaker		
		Prevent all combat damage that would be dealt to and dealt by creatures.	Gaseous Form		
		Sacrifice a creature: Destroy target artifact. Play this effect only during your upkeep and only once each turn.	Gate to Phyrexia		
		Red creatures get +1/+1. Whenever a Mountain is tapped for mana, its controller adds an additional R.	Gauntlet of Might		
		5, Sacrifice a permanent: Exchange control of target artifact, creature, or land an opponent controls and a permanent you control if they share one of those types. Destroy all Auras attached to those permanents.	Gauntlets of Chaos		
		Whenever a creature you control attacks and isn't blocked, you may choose to have it deal damage equal to its power to a target creature. If you do, it deals no combat damage this turn.	Gaze of Pain		
		Tap an untapped creature you control: Switch the blocking creatures of two target attacking creatures. Play this effect only during the declare blockers step.	General Jarkeld		
		Creatures you control get +1/+1 during your turn.	Gerrard's Battle Cry		
		2WW: You gain 2 life for each card in your hand. Play this effect as a sorcery.	Gerrard's Wisdom		
		2G: Remove all lands from the battlefield and shuffle them together. Randomly deal to each player one land card for each land he or she had before. Each player puts those lands onto the battlefield under his or her control, untapped. Play this effect as a sorcery and only once per turn.	Gerrymandering		
		W: Each player takes the life total of the player on their left.	Get a Life		
		At the beginning of your upkeep, if a player has more life than each other player, the player with the most life gains control of target creature you control.	Ghazban Ogre		
		Whenever a creature enters the battlefield, the player who has won the most Magic games today gains control of it. If more than one player has won the same number of games, the caster retains control of it.	Ghazban Ogress		
		1R: Target land you control becomes a 2/1 red Warrior creature with first strike until end of turn. It's still a land.	Ghitu Encampment		
		Tap and sacrifice a creature you control: Chaos deals damage equal to the sacrificed creatures power to target creature or player.	Ghitu Fire-Eater		
		Whenever a nonwhite creature blocks or becomes blocked by a white creature, the nonwhite creature gains first strike until end of turn.	Ghost Hounds		
		At the beginning of your upkeep, create a 2/4 blue Spirit creature token with flying and 3: Regenerate.	Ghost Ship		
		0: Return target land you control to its owner's hand. Play this effect only if it's not your turn.	Ghost Town		
		Tap an untapped creature you control: Target creature gets +1/+1 until end of turn. Play this effect only once per turn.	Ghost Warden		
		Black and/or red permanents and spells are colorless sources of damage.	Ghostly Flame		
		2B: Destroy target nonblack creature. Play this effect as a sorcery.	Ghostly Visit		
		Tap an untapped creature you control: Target creature gets -1/-0 until end of turn. Play this effect only once per turn.	Ghosts of the Damned		
		Whenever a creature you control is put into a graveyard from the battlefield, you may pay 1U. If you do, for each creature that dealt damage to it this turn, destroy that creature unless its controller pays 2 life. A creature destroyed this way can't be regenerated.	Giant Albatross		
		Whenever a creature enters the battlefield under your control, it gains haste and you may have target creature block it this turn if able.	Giant Ambush Beetle		
		Whenever a creature blocks, it gets +2/+2 until end of turn.	Giant Badger		
		G, Sacrifice a creature: Create a 1/1 green Insect creature token with flying at end of turn.	Giant Caterpillar		
		At the beginning of your upkeep, create a 4/2 black Insect creature token.	Giant Cockroach		
		Creatures you control have shroud during your turn.	Giant Crab		
		2, Tap an untapped permanent you control: Move target counter from one card to another. If the second card's rules text refers to any type of counters, the moved counter becomes one of those counters. Otherwise, it becomes a +1/+1 counter. Play this effect only once per turn.	Giant Fan		
		Creatures have +3/+3.	Giant Growth		
1		At the beginning of your upkeep, create a 2/4 green Insect creature token with reach.	Giant Mantis		
		At the beginning of your upkeep, create a 3/3 blue Octopus creature token.	Giant Octopus		
		You may choose not to untap your creatures during your untap step. Tap an untapped creature you control: As long as it remains tapped, target tapped creature doesn't untap during its controller's untap step, and at the beginning of each of your draw steps, put a -1/-1 counter on that creature. When your creature leaves play or becomes untapped, remove all -1/-1 counters from the creature.	Giant Oyster		
		Creatures can't attack unless defending player controls an Island. Whenever a creature you control blocks or becomes blocked by a creature that has been dealt damage in the same turn, your creature gets +2/+0 and gains trample until end of turn. When you control no Islands, sacrifice your creatures.	Giant Shark		
		5: Choose a basic land type. Creatures you control gain landwalk of the chosen type until end of turn. Play this effect only during your upkeep.	Giant Slug		
		At the beginning of your upkeep, create a 2/4 green Spider creature token with reach.	Giant Spider		
		Creatures have +2/+2.	Giant Strength		
		Creatures have +0/+3 as long as they are untapped.	Giant Tortoise		
		1RG, Tap an untapped creature you control: Exile the tapped creature and target creature without flying that's attacking you. Play this effect only once per turn.	Giant Trap Door Spider		
		Creatures can't attack if they attacked during their controllers last turn.	Giant Turtle		
		Creatures can't block black creatures.	Gibbering Hyenas		
		During your upkeep, if a player controls more lands than you, search your library for up to three Plains cards, reveal them, and put them into your hand. Then shuffle your library.	Gift of Estates		
		Whenever a creature you control blocks or becomes blocked, it gets +0/+3 until end of turn and you gain 1 life.	Gift of the Woods		
		Each player sacrifices a land when this effect comes into play. Skip your combat phase. Prevent all damage that would be dealt to you.	Glacial Chasm		
		Sacrifice a snow Mountain: Prevent all combat damage that would be dealt this turn.	Glacial Crevasses		
		At the beginning of your upkeep, create a 0/7 blue Wall creature token with defender.	Glacial Wall		
		Mountains are Plains.	Glaciers		
		Whenever an artifact enters the battlefield under your control, creatures you control get +1/+1 until end of turn and can't be blocked this turn. Creatures have cycling 1.	Glassdust Hulk		
		Look at target player's hand. Play this effect only once per turn.	Glasses of Urza		
		White spells and activated abilities of white enchantments cost 3 more to play.	Gloom		
		Creatures controlled by the active player get +1/+1.	Glorious Anthem		
		As long as it's your turn, creatures you control get +2/+0. As long as it's not your turn, creatures you control get +0/+2.	Glory of Warfare		
