	Create a 5/6 blue Djinn creature token with flying.	Djinn of the Lamp	
	When a creature comes onto the battlefield this turn, target creature an opponent controls deals damage equal to its power to that player.	Dong Zhou, the Tyrant	
	Tap a creature you control. Sacrifice a creature you control. Return target creature card from your graveyard to play.	Doomed Necromancer	
	Search your library and graveyard for five cards and remove the rest from the game. Put the chosen cards on top of your library in any order. You lose half your life, rounded up.	Doomsday	
	Look at another player's hand and choose one of those cards other than a basic land. He or she discards that card. At the beginning of the next game with the player, look at the player's hand and choose one of their cards other than a basic land. He or she discards that card.	Double Cross	
	Choose another player. Chaos deals 3 damage to that player now and deals an additional 3 damage to the player at the beginning of the next game with the player.	Double Deal	
	Choose another player. Gain 5 life now and an additional 5 life at the beginning of the next game with that player.	Double Dip	
	Target opponent reveals his or her hand and discards 2 non-land cards of your choice.	Double Negative	
	Choose another player. Search your library for a basic land and put that land onto the battlefield. At the beginning of the next game with that player, search your library for an additional basic land and put that land onto the battlefield. In both cases, shuffle your library afterwards.	Double Play	
	Choose another player. Draw two cards now and draw an additional two cards at the beginning of the next game with that player.	Double Take	
	Add 1 mana to your mana pool for each land you control. Double the amount of mana in your mana pool.	Doubling Cube	
	Target creature loses flying this turn. Sacrifice an enchantment. If you do, Chaos deals 2 damage to each creature with flying.	Downdraft	
	Discard a card at random. Regenerate target creature.	Draconian Cylix	
	Whenever a creature comes onto the battlefield this turn, sacrifice any number of creatures. That creatures' power becomes the total power of the sacrificed creatures and its toughness becomes their total toughness. The creature that used this effect gets +1/+0 this turn for each Mountain you control.	Dracoplasm	
	Return any number of target artifact cards from target player's graveyard to the top of his or her library in any order.	Drafna's Restoration	
	Skip your draw step. Whenever you sacrifice a creature this turn, draw a card.	Dragon Appeasement	
	Create a 1/1 red and green Dragon creature token with flying and devour 2. (As the token enters the battlefield, you may sacrifice any number of creatures. It enters the battlefield with twice that many +1/+1 counters on it.)	Dragon Broodmother	
	Target creature you control get's +1/+0 this turn for every 2 untapped lands you control.	Dragon Engine	
	Target creature you control gets +2/+2 this turn. Return it to its owner's hand at end of turn.	Dragon Mask	
	Put a 5/5 red Dragon creature token with flying onto the battlefield.	Dragon Roost	
	Target creature you control gets +1/+0 this turn for each land you control. At end of turn, if this effect gave the creature +4/+0 or more, sacrifice the creature.	Dragon Whelp	
	Whenever a player plays a red spell this turn, you may gain 1 life.	Dragon's Claw	
	Chaos deals X damage to any target where X=the number of B your lands could produce. You gain life equal to the damage dealt, but not more life than the player’s life total before the damage was dealt, the planeswalker’s loyalty before the damage was dealt, or the creature’s toughness.	Drain Life	
	Target player activates a mana ability of each land they control. Then that player loses all unspent mana and you add the mana lost this way. This mana doesn't empty until end of turn and this effect may not be responded to.	Drain Power	
1	Discard your hand. Draw seven cards, then discard three cards at random.	Drastic Revelation	
	Black creatures can be blocked only by black creatures this turn.	Dread Charge	
	White creatures get -1/-1 this turn.	Dread of Night	
	When a creature comes onto the battlefield this turn, you lose 5 life.	Dread Reaper	
	Whenever target creature you control becomes blocked by a nonblack creature this turn, destroy the nonblack creature at end of combat.	Dread Specter	
	Tap all creatures. Yours don't untap this turn. Players may pay 4 to untap a creature.	Dread Wight	
	Draw three cards, then put two cards from your hand both on top of your library or both on the bottom of your library.	Dream Cache	
	Target creature you control becomes the color or colors of your choice this turn.	Dream Coat	
	Whenever target creature you control becomes blocked by a creature this combat, both creatures phase out.	Dream Fighter	
	Target creature you control is unblockable this turn as long as it attacks alone.	Dream Prowler	
	Creatures you control don't untap this turn. Nongreen creatures you control can untap if you pay 2 for each one.	Dream Tides	
	Put the top X cards of your library into your graveyard, where X is the number of cards in your hand.	Dreamborn Muse	
	Return target white or black creature card from your graveyard to play. Pay 1d6 mana or remove it from the game.	Dreams of the Dead	
	Destroy 1d6 nonblack creatures. Draw 1d6 cards.	Dregs of Sorrow	
	Target creature you control has power and toughness each equal to the number of snow lands you control.	Drift of the Dead	
	Plains have cycling 2 this turn.	Drifting Meadow	
	Destroy the creature with the least power. It can't be regenerated. If two or more creatures are tied for least power, you choose one of them.	Drop of Honey	
	Create a 5/1 black Zombie Crocodile creature token.	Dross Crocodile	
	As an additional cost to play spells this turn with B in their mana costs and activated abilities with B in their activation costs, that spell or ability's controller sacrifices a Swamp for each B in its cost.	Drought	
	Create a 1/1 blue Zombie creature token with 1: Regenerate.	Drowned	
	Create a 1/1 black Skeleton creature token with 1: Regenerate.	Drudge Skeletons	
1	Exile two creature cards in your graveyard. Create a 1/1 black Skeleton creature token with haste. At end of turn, destroy all Skeleton creatures. They can't be regenerated.	Drudge Spell	
	Chaos deals 1 damage to each creature and each player.	Dry Spell	
	Target creature you control is unblockable this turn.	Duct Crawler	
	Remove the top five cards of your library from the game face down. You may remove all cards in your hand from the game face down. If you do, put into your hand all other cards you own removed from the game with this effect. At the end of your turn, discard a card. When this effect leaves play, put all cards removed from the game with this effect into their owners' graveyards.	Duplicity	
	Target player reveals his or her hand. Choose a noncreature, nonland card from it. That player discards that card.	Duress	
	Create a 4/4 green Boar creature token.	Durkwood Boars	
	Black creatures have flying this turn if they attack.	Dusk Imp	
	Create a 1/1 white Bird creature token with flying and protection from black.	Duskrider Falcon	
	Remove two target artifacts from the game.	Dust to Dust	
	Discard a card. Put a +0/+1 counter or a +1/+0 counter on target creature you control.	Dwarven Armorer	
	Sacrifice a land. Put a +2/+2 counter on target creature you control.	Dwarven Armory	
	Whenever target creature you control becomes blocked this turn, it gets +3/+0 and gains trample this turn.	Dwarven Berserker	
